domain,domain_length,subdomain_count,has_suspicious_keywords,A_record_count,ttl_avg,has_multiple_A_records,CNAME_count,MX_count,NS_count,TXT_count,has_AAAA,symbol_ratio,whois_days_to_expire,whois_success
gravatar.com,12.0,0.0,0.0,4.0,18.0,1.0,0.0,2.0,3.0,4.0,0.0,1.0,663.0,1.0
dropbox.com,11.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,45.0,1.0,1.0,644.0,1.0
nist.gov,8.0,0.0,0.0,4.0,293.0,1.0,0.0,1.0,3.0,8.0,1.0,1.0,338.0,1.0
nih.gov,7.0,0.0,0.0,1.0,7200.0,0.0,0.0,8.0,3.0,57.0,0.0,1.0,335.0,1.0
tumblr.com,10.0,0.0,0.0,1.0,191.0,0.0,0.0,5.0,4.0,16.0,0.0,1.0,626.0,1.0
userapi.com,11.0,0.0,0.0,2.0,269.0,1.0,0.0,1.0,4.0,7.0,0.0,1.0,3.0,1.0
ui.com,6.0,0.0,0.0,4.0,52.0,1.0,0.0,5.0,4.0,25.0,1.0,1.0,940.0,1.0
one.one,7.0,0.0,0.0,2.0,1910.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,241.0,1.0
dns.google,10.0,0.0,0.0,2.0,883.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,-1.0,0.0
xiaomi.com,10.0,0.0,0.0,1.0,402.0,0.0,0.0,2.0,2.0,18.0,0.0,1.0,304.0,1.0
nytimes.com,11.0,0.0,0.0,4.0,29.0,1.0,0.0,5.0,8.0,33.0,0.0,1.0,485.0,1.0
paypal.com,10.0,0.0,1.0,3.0,179.0,1.0,0.0,2.0,4.0,12.0,0.0,1.0,297.0,1.0
macromedia.com,14.0,0.0,0.0,1.0,28800.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,235.0,1.0
lencr.org,9.0,0.0,0.0,2.0,42.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,282.0,1.0
telekom.net,11.0,0.0,0.0,1.0,600.0,0.0,0.0,5.0,4.0,3.0,0.0,1.0,249.0,1.0
archive.org,11.0,0.0,0.0,1.0,244.0,0.0,0.0,1.0,6.0,8.0,0.0,1.0,1909.0,1.0
myfritz.net,11.0,0.0,0.0,1.0,86400.0,0.0,0.0,2.0,3.0,7.0,1.0,1.0,1.0,1.0
adriver.ru,10.0,0.0,0.0,1.0,3600.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,71.0,1.0
flickr.com,10.0,0.0,0.0,4.0,60.0,1.0,0.0,5.0,4.0,5.0,0.0,1.0,62.0,1.0
gmail.com,9.0,0.0,0.0,4.0,148.0,1.0,0.0,5.0,4.0,3.0,1.0,1.0,325.0,1.0
cnn.com,7.0,0.0,0.0,4.0,39.0,1.0,0.0,1.0,4.0,57.0,1.0,1.0,730.0,1.0
medium.com,10.0,0.0,0.0,2.0,57.0,1.0,0.0,5.0,2.0,12.0,1.0,1.0,247.0,1.0
ivi.ru,6.0,0.0,0.0,3.0,300.0,1.0,0.0,2.0,5.0,15.0,0.0,1.0,71.0,1.0
forbes.com,10.0,0.0,0.0,4.0,86400.0,1.0,0.0,2.0,4.0,49.0,0.0,1.0,268.0,1.0
soundcloud.com,14.0,0.0,0.0,4.0,34.0,1.0,0.0,5.0,4.0,22.0,0.0,1.0,260.0,1.0
pki.goog,8.0,0.0,0.0,1.0,257.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,-1.0,0.0
yandex.ru,9.0,0.0,0.0,3.0,248.0,1.0,0.0,1.0,2.0,8.0,1.0,1.0,375.0,1.0
amazonvideo.com,15.0,0.0,0.0,4.0,58.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,207.0,1.0
w3.org,6.0,0.0,0.0,2.0,126.0,1.0,0.0,2.0,2.0,7.0,1.0,1.0,1383.0,1.0
discord.gg,10.0,0.0,0.0,5.0,276.0,1.0,0.0,5.0,2.0,4.0,0.0,1.0,-1.0,0.0
theguardian.com,15.0,0.0,0.0,4.0,413.0,1.0,0.0,5.0,8.0,29.0,1.0,1.0,287.0,1.0
registrar-servers.com,21.0,0.0,0.0,1.0,300.0,0.0,0.0,2.0,8.0,1.0,0.0,2.0,48.0,1.0
kaspersky.com,13.0,0.0,0.0,1.0,60.0,0.0,0.0,5.0,3.0,22.0,0.0,1.0,17.0,1.0
casalemedia.com,15.0,0.0,0.0,2.0,131.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0,298.0,1.0
doubleverify.com,16.0,0.0,1.0,1.0,54.0,0.0,0.0,2.0,6.0,37.0,0.0,1.0,1792.0,1.0
adobe.io,8.0,0.0,0.0,4.0,60.0,1.0,0.0,0.0,4.0,11.0,0.0,1.0,-1.0,0.0
example.com,11.0,0.0,0.0,6.0,140.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,326.0,1.0
t.co,4.0,0.0,0.0,1.0,232.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,217.0,1.0
mzstatic.com,12.0,0.0,0.0,1.0,152.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,294.0,1.0
taboola.com,11.0,0.0,0.0,4.0,194.0,1.0,0.0,7.0,8.0,5.0,0.0,1.0,1982.0,1.0
android.com,11.0,0.0,0.0,6.0,73.0,1.0,0.0,7.0,4.0,2.0,1.0,1.0,274.0,1.0
linkos.bg,9.0,0.0,0.0,1.0,1800.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,-1.0,0.0
twitch.tv,9.0,0.0,0.0,4.0,1962.0,1.0,0.0,5.0,4.0,33.0,0.0,1.0,261.0,1.0
creativecommons.org,19.0,0.0,0.0,2.0,157.0,1.0,0.0,8.0,2.0,3.0,1.0,1.0,116.0,1.0
miui.com,8.0,0.0,0.0,1.0,68.0,0.0,0.0,1.0,2.0,6.0,0.0,1.0,440.0,1.0
ebay.com,8.0,0.0,0.0,2.0,9.0,1.0,0.0,2.0,8.0,30.0,0.0,1.0,3238.0,1.0
bbc.co.uk,9.0,1.0,0.0,4.0,60.0,1.0,0.0,2.0,8.0,22.0,1.0,2.0,83.0,1.0
bbc.com,7.0,0.0,0.0,4.0,300.0,1.0,0.0,2.0,8.0,14.0,1.0,1.0,1757.0,1.0
pubmatic.com,12.0,0.0,0.0,4.0,60.0,1.0,0.0,1.0,4.0,10.0,1.0,1.0,3274.0,1.0
roku.com,8.0,0.0,0.0,2.0,292.0,1.0,0.0,1.0,4.0,22.0,0.0,1.0,195.0,1.0
webex.com,9.0,0.0,0.0,1.0,158.0,0.0,0.0,3.0,2.0,26.0,0.0,1.0,144.0,1.0
b-cdn.net,9.0,0.0,0.0,1.0,26.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,1313.0,1.0
f5.com,6.0,0.0,0.0,1.0,30.0,0.0,0.0,2.0,4.0,25.0,0.0,1.0,251.0,1.0
t-online.de,11.0,0.0,0.0,3.0,300.0,1.0,0.0,4.0,5.0,9.0,0.0,2.0,-1.0,0.0
att.com,7.0,0.0,0.0,2.0,275.0,1.0,0.0,2.0,6.0,37.0,0.0,1.0,217.0,1.0
discord.com,11.0,0.0,0.0,5.0,192.0,1.0,0.0,5.0,2.0,10.0,0.0,1.0,411.0,1.0
mit.edu,7.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,8.0,25.0,1.0,1.0,313.0,1.0
crashlytics.com,15.0,0.0,0.0,1.0,111.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,122.0,1.0
scorecardresearch.com,21.0,0.0,0.0,1.0,232.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,42.0,1.0
mts.ru,6.0,0.0,0.0,1.0,3600.0,0.0,0.0,4.0,5.0,26.0,0.0,1.0,71.0,1.0
cisco.com,9.0,0.0,0.0,1.0,745.0,0.0,0.0,3.0,5.0,76.0,1.0,1.0,236.0,1.0
ampproject.org,14.0,0.0,0.0,6.0,29.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,344.0,1.0
slack.com,9.0,0.0,0.0,15.0,47.0,1.0,0.0,5.0,4.0,11.0,0.0,1.0,759.0,1.0
netangels.ru,12.0,0.0,0.0,1.0,300.0,0.0,0.0,2.0,4.0,7.0,0.0,1.0,72.0,1.0
googleblog.com,14.0,0.0,0.0,1.0,300.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,281.0,1.0
ubuntu.com,10.0,0.0,0.0,3.0,16.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,251.0,1.0
salesforce.com,14.0,0.0,0.0,8.0,87.0,1.0,0.0,2.0,6.0,33.0,0.0,1.0,395.0,1.0
omtrdc.net,10.0,0.0,0.0,1.0,5415.0,0.0,0.0,2.0,10.0,7.0,0.0,1.0,304.0,1.0
linktr.ee,9.0,0.0,0.0,4.0,46.0,1.0,0.0,5.0,4.0,33.0,0.0,1.0,534.0,1.0
doi.org,7.0,0.0,0.0,3.0,281.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,3407.0,1.0
shopify.com,11.0,0.0,0.0,1.0,52.0,0.0,0.0,5.0,3.0,47.0,0.0,1.0,536.0,1.0
who.int,7.0,0.0,0.0,1.0,900.0,0.0,0.0,1.0,5.0,11.0,0.0,1.0,-1.0,0.0
imgsmail.ru,11.0,0.0,0.0,2.0,3600.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0,61.0,1.0
hubspot.com,11.0,0.0,0.0,2.0,300.0,1.0,0.0,2.0,2.0,44.0,1.0,1.0,504.0,1.0
wixsite.com,11.0,0.0,0.0,1.0,30100.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,230.0,1.0
tinyurl.com,11.0,0.0,0.0,2.0,126.0,1.0,0.0,5.0,4.0,6.0,1.0,1.0,1224.0,1.0
hp.com,6.0,0.0,0.0,2.0,222.0,1.0,0.0,1.0,6.0,47.0,0.0,1.0,164.0,1.0
tds.net,7.0,0.0,0.0,1.0,35098.0,0.0,0.0,1.0,7.0,2.0,0.0,1.0,289.0,1.0
launchdarkly.com,16.0,0.0,0.0,2.0,18.0,1.0,0.0,5.0,4.0,42.0,0.0,1.0,1758.0,1.0
opendns.com,11.0,0.0,0.0,1.0,27.0,0.0,0.0,3.0,3.0,7.0,0.0,1.0,349.0,1.0
openx.net,9.0,0.0,0.0,2.0,488.0,1.0,0.0,7.0,4.0,2.0,0.0,1.0,48.0,1.0
tradingview.com,15.0,0.0,0.0,4.0,12.0,1.0,0.0,5.0,4.0,20.0,0.0,1.0,2371.0,1.0
mtgglobals.com,14.0,0.0,0.0,4.0,108.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,138.0,1.0
cpanel.net,10.0,0.0,0.0,2.0,63.0,1.0,0.0,1.0,3.0,20.0,0.0,1.0,1878.0,1.0
launchpad.net,13.0,0.0,0.0,2.0,349.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,128.0,1.0
stripe.com,10.0,0.0,0.0,3.0,21.0,1.0,0.0,5.0,4.0,27.0,0.0,1.0,355.0,1.0
harvard.edu,11.0,0.0,0.0,1.0,300.0,0.0,0.0,2.0,6.0,44.0,0.0,1.0,313.0,1.0
taobao.com,10.0,0.0,0.0,8.0,237.0,1.0,0.0,1.0,4.0,5.0,1.0,1.0,1673.0,1.0
adsrvr.org,10.0,0.0,0.0,4.0,7.0,1.0,0.0,2.0,8.0,6.0,1.0,1.0,189.0,1.0
steampowered.com,16.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,1053.0,1.0
adtrafficquality.google,23.0,0.0,0.0,6.0,59.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,-1.0,0.0
drom.ru,7.0,0.0,0.0,1.0,60.0,0.0,0.0,1.0,3.0,24.0,0.0,1.0,126.0,1.0
php.net,7.0,0.0,0.0,1.0,300.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,1518.0,1.0
google.com.br,13.0,1.0,0.0,1.0,152.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,239.0,1.0
www.gov.uk,10.0,1.0,0.0,4.0,193.66666666666666,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,0.0
3lift.com,9.0,0.0,0.0,4.0,10.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,106.0,1.0
weebly.com,10.0,0.0,0.0,2.0,667.0,1.0,0.0,5.0,4.0,3.0,0.0,1.0,189.0,1.0
weather.com,11.0,0.0,0.0,1.0,16.0,0.0,0.0,5.0,6.0,30.0,1.0,1.0,126.0,1.0
go.com,6.0,0.0,0.0,2.0,1777.0,1.0,0.0,0.0,6.0,6.0,0.0,1.0,109.0,1.0
appsflyer.com,13.0,0.0,0.0,2.0,55.0,1.0,0.0,5.0,4.0,22.0,0.0,1.0,2787.0,1.0
ibm.com,7.0,0.0,0.0,1.0,14.0,0.0,0.0,2.0,4.0,39.0,1.0,1.0,180.0,1.0
dailymail.co.uk,15.0,1.0,0.0,1.0,20.0,0.0,0.0,1.0,6.0,29.0,1.0,2.0,1000.0,1.0
sharethrough.com,16.0,0.0,0.0,2.0,300.0,1.0,0.0,1.0,4.0,15.0,0.0,1.0,92.0,1.0
cdc.gov,7.0,0.0,0.0,2.0,20.0,1.0,0.0,4.0,6.0,19.0,1.0,1.0,334.0,1.0
appcenter.ms,12.0,0.0,0.0,1.0,3547.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,391.0,1.0
shalltry.com,12.0,0.0,0.0,4.0,60.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,194.0,1.0
grammarly.com,13.0,0.0,0.0,4.0,31.0,1.0,0.0,5.0,4.0,31.0,0.0,1.0,284.0,1.0
booking.com,11.0,0.0,0.0,4.0,60.0,1.0,0.0,2.0,4.0,48.0,0.0,1.0,572.0,1.0
slideshare.net,14.0,0.0,0.0,4.0,60.0,1.0,0.0,1.0,4.0,6.0,0.0,1.0,196.0,1.0
netflix.net,11.0,0.0,0.0,9.0,28.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,77.0,1.0
dell.com,8.0,0.0,0.0,2.0,415.0,1.0,0.0,2.0,8.0,30.0,0.0,1.0,61.0,1.0
nature.com,10.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,6.0,32.0,0.0,1.0,323.0,1.0
ea.com,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,59.0,1.0,1.0,571.0,1.0
reg.ru,6.0,0.0,0.0,1.0,86400.0,0.0,0.0,1.0,2.0,13.0,0.0,1.0,41.0,1.0
debian.org,10.0,0.0,0.0,4.0,129.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,170.0,1.0
alibaba.com,11.0,0.0,0.0,4.0,85.0,1.0,0.0,2.0,2.0,10.0,0.0,1.0,1706.0,1.0
inmobi.com,10.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,4.0,22.0,0.0,1.0,237.0,1.0
mozilla.com,11.0,0.0,0.0,1.0,284.0,0.0,0.0,4.0,4.0,20.0,0.0,1.0,756.0,1.0
mi.com,6.0,0.0,0.0,2.0,552.0,1.0,1.0,0.0,2.0,11.0,0.0,1.0,1141.0,1.0
smartadserver.com,17.0,0.0,0.0,1.0,66.0,0.0,0.0,5.0,6.0,9.0,0.0,1.0,262.0,1.0
1c.ru,5.0,0.0,0.0,1.0,360.0,0.0,0.0,2.0,7.0,2.0,0.0,1.0,71.0,1.0
outbrain.com,12.0,0.0,0.0,4.0,145.0,1.0,0.0,5.0,8.0,19.0,0.0,1.0,1054.0,1.0
pages.dev,9.0,0.0,0.0,2.0,300.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,-1.0,0.0
moe.video,9.0,0.0,0.0,3.0,900.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,-1.0,0.0
dailymotion.com,15.0,0.0,0.0,1.0,84473.0,0.0,0.0,1.0,2.0,13.0,0.0,1.0,-1.0,0.0
adsafeprotected.com,19.0,0.0,0.0,4.0,10.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,558.0,1.0
avast.com,9.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,12.0,1.0,1.0,1826.0,1.0
temu.com,8.0,0.0,0.0,2.0,134.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,1682.0,1.0
springer.com,12.0,0.0,0.0,1.0,38.0,0.0,0.0,2.0,6.0,30.0,0.0,1.0,248.0,1.0
crpt.ru,7.0,0.0,0.0,1.0,60.0,0.0,0.0,2.0,4.0,8.0,0.0,1.0,232.0,1.0
rutube.ru,9.0,0.0,0.0,1.0,13.0,0.0,0.0,3.0,5.0,31.0,0.0,1.0,20.0,1.0
nvidia.com,10.0,0.0,0.0,1.0,7042.0,0.0,0.0,1.0,5.0,63.0,0.0,1.0,3134.0,1.0
cloud.microsoft,15.0,0.0,0.0,5.0,223.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,-1.0,0.0
kaspersky-labs.com,18.0,0.0,0.0,1.0,963.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,357.0,1.0
id5-sync.com,12.0,0.0,0.0,11.0,178.0,1.0,0.0,5.0,2.0,2.0,0.0,2.0,125.0,1.0
checkpoint.com,14.0,0.0,0.0,4.0,1079.0,1.0,0.0,1.0,4.0,65.0,0.0,1.0,190.0,1.0
stackoverflow.com,17.0,0.0,0.0,2.0,290.0,1.0,0.0,5.0,2.0,17.0,0.0,1.0,134.0,1.0
clarity.ms,10.0,0.0,0.0,2.0,348.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,194.0,1.0
gosuslugi.ru,12.0,0.0,0.0,2.0,600.0,1.0,0.0,2.0,4.0,15.0,0.0,1.0,346.0,1.0
wp.com,6.0,0.0,0.0,2.0,14400.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,189.0,1.0
nease.net,9.0,0.0,0.0,1.0,300.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,287.0,1.0
google.de,9.0,0.0,0.0,1.0,212.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,-1.0,0.0
stanford.edu,12.0,0.0,0.0,1.0,1800.0,0.0,0.0,2.0,6.0,76.0,1.0,1.0,1044.0,1.0
businessinsider.com,19.0,0.0,0.0,4.0,13561.0,1.0,0.0,5.0,10.0,21.0,0.0,1.0,1083.0,1.0
dnsmadeeasy.com,15.0,0.0,0.0,1.0,30.0,0.0,0.0,4.0,6.0,3.0,0.0,1.0,151.0,1.0
